vendor_id,vendor_name,category,country,city,contact_name,contact_email,phone,behavioral_archetype,risk_tier,is_new_vendor,relationship_years,certifications,preferred_payment_terms,base_price_index,base_response_rate,base_otd_rate,base_quality_score,financial_health_score,capacity_utilization_pct,onboarded_date
V001,Kovacs Precision GmbH,Mechanical Parts,Germany,Stuttgart,Allison Hill,allison@kovacsprecis.com,321.581.9600,reliable,low,False,12,ISO9001,Net60,0.908,0.61,0.73,8.8,7.7,76.8,2012-05-10
V002,Tanaka Electrical KK,Electrical Components,Japan,Osaka,Lance Hoffman,lance@tanakaelectr.com,001-486-537-9402x654,conservative,low,False,2,ISO14001,Net45,1.002,0.56,0.76,8.5,7.7,63.2,2018-08-10
V003,Patel Alloys Pvt Ltd,Raw Materials,India,Ahmedabad,Gabrielle Davis,gabrielle@patelalloysp.com,855-394-0781,relationship_focused,low,False,6,ISO14001,2/10 Net30,0.942,0.62,0.97,7.3,5.9,58.6,2021-07-03
V004,Strömberg Hydraulics AB,Mechanical Parts,Sweden,Gothenburg,Sandra Montgomery,sandra@strömberghyd.com,(993)710-3413x164,reliable,low,False,7,AS9100|ISO9001|IATF16949,LC at sight,0.865,0.94,0.72,7.1,8.0,87.8,2016-01-21
V005,Cerro Negro Metals SA,Raw Materials,Chile,Santiago,Henry Santiago,henry@cerronegrome.com,001-719-228-3276x483,aggressive_bidder,medium,False,11,OHSAS18001,Net30,0.836,0.65,0.78,6.3,6.4,58.7,2015-02-12
V006,Bright Spark Electronics Ltd,Electrical Components,UK,Birmingham,Andrew Stewart,andrew@brightsparke.com,513-695-3767x242,volatile,medium,False,9,AS9100|ISO14001|OHSAS18001,Net60,0.895,0.66,0.96,8.5,7.9,61.3,2020-03-05
V007,Nakamura Tooling Co.,Mechanical Parts,Japan,Nagoya,Jessica Silva,jessica@nakamuratool.com,(332)887-1012x269,conservative,low,False,5,IATF16949,2/10 Net30,0.917,0.94,0.89,6.8,6.8,83.4,2012-08-17
V008,Delta Composites Inc.,Raw Materials,USA,Houston,Zachary Rice,zachary@deltacomposi.com,+1-401-984-5146,aggressive_bidder,medium,False,5,AS9100,2/10 Net30,0.916,0.64,0.96,9.3,6.8,79.3,2016-06-08
V009,Fischer & Söhne KG,Mechanical Parts,Germany,Munich,Nathan Cortez,nathan@fischersöhne.com,728.914.8932x52880,relationship_focused,low,False,12,ISO14001|AS9100,Net45,0.909,0.79,0.77,8.2,9.1,69.8,2014-06-17
V010,Adriatic Fastenings d.o.o.,Mechanical Parts,Croatia,Split,Timothy Koch,timothy@adriaticfast.com,430-639-1171x8227,aggressive_bidder,medium,False,4,IATF16949|ISO9001|ISO45001,Net30,0.875,0.62,0.89,8.3,7.0,77.0,2017-04-01
V011,Solaris Power Components,Electrical Components,Spain,Barcelona,Lisa Brandt,lisa@solarispower.com,+1-534-565-7871,volatile,medium,False,10,ISO45001|ISO9001,Net30,1.065,0.78,0.77,8.4,5.9,71.1,2017-02-01
V012,Indra Copper Works,Raw Materials,India,Mumbai,Alex Spencer,alex@indracopperw.com,001-330-510-3105,reliable,low,False,2,OHSAS18001|AS9100|ISO14001,LC at sight,1.149,0.92,0.78,8.4,7.9,60.7,2020-07-20
V013,Vantage Sensors GmbH,Electrical Components,Germany,Dresden,John Ryan,john@vantagesenso.com,001-899-973-7631x1656,conservative,low,False,4,ISO45001|ISO9001|AS9100,2/10 Net30,0.827,0.94,0.95,9.2,6.7,57.1,2021-11-05
V014,Coastal Alloys Pty Ltd,Raw Materials,Australia,Perth,Amy Valdez,amy@coastalalloy.com,+1-410-665-1333x8726,relationship_focused,medium,False,11,ISO9001,2/10 Net30,1.114,0.96,0.85,6.5,8.1,90.0,2013-11-07
V015,Nordic Steel AS,Raw Materials,Norway,Bergen,Shannon Jones,shannon@nordicsteela.com,+1-910-980-1326,reliable,low,False,6,ISO45001|IATF16949|ISO14001,LC at sight,1.092,0.84,0.9,7.5,8.2,68.8,2017-10-20
V016,Precision Arc Systems,Electrical Components,USA,Detroit,James Brown,james@precisionarc.com,(206)247-4687x2343,volatile,high,False,9,ISO14001,Net45,0.843,0.56,0.86,8.2,5.5,81.2,2012-08-29
V017,Türk Makina A.Ş.,Mechanical Parts,Turkey,Bursa,Amy Silva,amy@türkmakinaaş.com,582.208.1219x13619,aggressive_bidder,medium,False,5,ISO9001,Net60,0.846,0.65,0.89,6.8,6.0,89.6,2018-05-27
V018,Guangzhou Mech & Elec Co.,Electrical Components,China,Guangzhou,Jennifer Silva,jennifer@guangzhoumec.com,954.335.3462x47510,aggressive_bidder,high,False,11,ISO14001|IATF16949,2/10 Net30,0.889,0.59,0.82,7.6,7.4,82.0,2019-07-21
V019,Emerald Isle Castings Ltd,Mechanical Parts,Ireland,Cork,Daniel Baker,daniel@emeraldislec.com,(613)354-2784x980,conservative,low,False,12,ISO9001|OHSAS18001|IATF16949,Net60,1.108,0.6,0.75,8.0,6.1,61.8,2017-03-09
V020,Rajasthan Rare Earths Ltd,Raw Materials,India,Jaipur,Brandy Wilson,brandy@rajasthanrar.com,682-944-9353,relationship_focused,medium,False,5,IATF16949,LC at sight,0.855,0.82,0.85,6.1,5.9,82.9,2014-08-26
V021,Helios Micro Systems,Electrical Components,Israel,Tel Aviv,Terry Williams,terry@heliosmicros.com,+1-264-300-5242x7868,conservative,medium,True,0,IATF16949,2/10 Net30,0.993,0.0,0.0,0.0,9.0,88.4,2024-05-13
V022,Andean Precision SRL,Mechanical Parts,Argentina,Córdoba,Stephen Mckee,stephen@andeanprecis.com,+1-605-798-2620,aggressive_bidder,high,True,0,ISO9001|IATF16949,Net60,1.154,0.0,0.0,0.0,8.6,65.6,2024-09-26
V023,Sahara Industrial FZE,Raw Materials,UAE,Dubai,Rebecca Valencia,rebecca@saharaindust.com,(833)215-8692x322,volatile,high,True,0,ISO45001|IATF16949|ISO14001,Net45,0.927,0.0,0.0,0.0,9.4,76.4,2024-08-17
V024,BalticTech UAB,Mechanical Parts,Lithuania,Vilnius,Tim Patton,tim@baltictechua.com,(534)221-6073x37543,reliable,medium,True,0,OHSAS18001,Net60,0.841,0.0,0.0,0.0,7.8,73.6,2024-08-14
